ID,NAME,SHIRT_NAME,GK  0,CWP  2,CBT  3,SB  4,DMF  5,WB  6,CMF  7,SMF  8,AMF  9,WF 10,SS  11,CF  12,REGISTERED POSITION,HEIGHT,STRONG FOOT,FAVOURED SIDE,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOAL KEEPING,TEAM WORK,CONSISTENCY,CONDITION / FITNESS,DRIBBLING,TACTIAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW,INJURY TOLERANCE,DRIBBLE STYLE,FREE KICK STYLE,PK STYLE,DROP KICK STYLE,AGE,WEIGHT,NATIONALITY,SKIN COLOR,FACE TYPE,PRESET FACE NUMBER,HEAD WIDTH,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,WRISTBAND,WRISTBAND COLOR,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER
1,Macho,M  A  C  H  O,1,0,0,0,0,0,0,0,0,0,0,0,0,193,L,B,4,4,30,83,83,63,67,62,89,73,49,55,54,59,57,65,38,75,38,37,43,45,83,52,60,82,81,70,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,1,1,1,1,29,87,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,1,0,,0
2,Scharner,SCHARNER,0,0,1,1,1,0,1,0,0,0,0,0,5,191,R,R,5,5,73,75,83,90,78,74,77,72,78,73,82,73,81,76,74,80,76,69,67,82,83,76,76,80,50,74,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,26,80,Austria,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,N,None,4,0,,0
3,Stranzl,S T R A N Z L,0,0,1,1,0,1,0,1,0,0,0,0,4,190,R,B,5,6,65,75,85,78,75,70,76,70,71,70,73,70,70,67,62,83,67,70,64,76,72,72,67,70,50,77,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,1,1,1,1,26,82,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,3,0,Espanyol,3
4,Dober,D  O  B  E  R,0,0,0,1,0,0,0,0,0,0,0,0,4,183,R,R,5,5,68,60,80,83,78,77,70,73,73,76,66,68,70,70,55,77,57,54,66,65,76,72,75,68,50,74,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,20,76,Austria,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,None,2,0,,0
5,Pogatetz,POGATETZ,0,0,1,1,0,1,0,0,0,0,0,0,4,187,L,L,4,4,68,65,75,80,75,72,67,71,74,68,70,69,81,81,67,84,62,75,77,68,76,78,67,69,50,67,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,23,82,Austria,1,0,1,0,0,0,1,1,0,0,0,-1,-2,2,N,None,5,0,Middlesbrough,11
6,Kiesenebner,KIESENEBNER,0,0,0,0,0,0,1,1,0,0,0,0,7,181,R,R,5,5,66,66,83,84,76,74,76,71,73,74,74,72,73,77,60,83,62,75,73,71,72,72,67,74,50,72,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,27,80,Austria,1,0,1,-3,0,0,0,0,0,0,0,0,0,0,N,None,8,0,,0
7,Aufhauser,AUFHAUSER,0,0,0,0,1,0,1,0,0,0,0,0,5,185,R,B,5,5,61,67,82,82,72,71,77,70,73,74,78,74,79,76,69,80,64,75,77,73,73,76,61,74,50,72,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,30,80,Austria,1,0,1,-3,0,0,1,1,0,0,0,-1,-2,2,N,None,6,0,,0
8,Schopp,S C H O P P,0,0,0,0,1,0,1,0,0,0,0,0,8,188,R,R,4,4,70,70,81,83,78,72,70,75,77,72,78,77,82,78,69,78,72,77,82,76,76,81,68,76,50,72,6,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,A,1,1,1,1,28,82,Austria,1,0,1,0,0,0,1,1,0,0,0,-1,-2,2,N,None,7,0,Brescia,16
9,Ivanschitz,IVANSCHITZ,0,0,0,0,0,0,1,1,1,0,0,0,9,183,L,L,5,5,76,52,71,86,80,83,69,75,80,70,82,75,83,84,69,80,65,81,76,67,75,80,65,67,50,68,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,1,2,1,1,23,79,Austria,1,0,1,1,0,0,0,0,0,0,0,0,0,0,N,None,10,0,Panathinaikos,27
10,Linz,L  I  N  Z,0,0,0,0,0,0,0,0,0,0,0,1,12,185,R,B,5,5,79,38,81,82,83,86,76,75,70,77,71,68,63,66,76,78,74,62,58,80,83,73,83,70,50,68,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,25,72,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,9,0,,0
11,Wallner,W A L L N E R,0,0,0,0,0,0,0,0,0,0,0,1,12,176,R,B,5,5,77,33,80,84,80,85,84,80,75,78,67,69,65,70,81,80,78,81,83,70,75,76,86,70,50,64,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,24,80,Austria,1,0,1,2,0,0,0,0,0,0,0,0,0,0,N,None,11,0,,0
12,Shalimov,SHALIMOV,0,0,0,0,0,0,1,0,1,0,0,0,9,180,R,B,5,5,76,62,78,82,78,80,80,82,82,80,84,82,80,57,76,78,80,38,78,70,76,84,68,78,80,80,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,2,26,74,Russia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,0,0,Foggia,2
13,Massaro,MASSARO,0,0,0,0,0,0,0,0,0,1,1,1,11,174,R,B,4,4,78,35,76,80,80,82,80,82,78,80,74,47,52,58,76,74,78,36,36,72,82,78,74,80,80,82,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,2,30,70,Italy,1,0,1,-2,0,0,1,1,0,0,0,-1,-2,2,N,None,0,0,3,3
14,Ehmann,E H M A N N,0,0,1,0,0,0,0,0,0,0,0,0,3,188,R,B,5,5,53,76,84,75,69,66,72,65,61,59,65,63,67,72,53,80,55,44,48,82,72,66,58,74,50,74,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,33,81,Austria,1,0,1,2,-2,0,1,1,2,0,1,1,0,-1,N,None,19,0,,0
15,Feldhofer,FELDHOFER,0,0,1,0,1,0,0,0,0,0,0,0,3,182,R,B,5,5,53,73,78,82,76,75,77,70,70,67,73,68,73,70,57,76,60,57,56,73,81,72,59,73,50,75,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,27,76,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,20,0,,0
16,Ibertsberger,IBERTSBERGER,0,0,0,1,0,1,0,0,0,0,0,0,4,177,R,B,5,5,63,67,77,80,76,75,72,72,74,72,71,67,75,73,60,79,63,60,65,73,74,75,64,72,50,75,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,24,78,Austria,1,0,1,1,0,0,0,0,0,0,0,0,0,0,N,None,15,0,,0
17,Gercaliu,GERCALIU,0,0,0,1,0,0,0,0,0,0,0,0,4,181,L,L,4,4,62,66,78,80,76,74,73,71,73,72,70,69,73,70,60,80,63,60,64,74,76,72,65,65,50,74,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,20,76,Austria,1,0,1,4,0,0,0,0,0,0,0,0,0,0,N,None,13,0,,0
18,Standfest,STANDFEST,0,0,0,1,0,0,0,0,0,0,0,0,4,180,R,R,5,5,67,65,75,81,76,74,68,70,71,75,68,69,70,70,64,78,65,60,66,68,72,70,67,70,50,72,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A,1,1,1,1,26,73,Austria,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,R,White,14,0,,0
19,Dospel,D O S P E L,0,0,0,1,0,0,0,1,0,0,0,0,4,184,R,B,5,5,59,73,78,80,74,68,76,74,70,69,71,68,69,72,57,77,55,53,58,78,76,69,61,73,50,75,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,30,75,Austria,1,0,1,-2,-2,0,1,1,2,0,1,1,0,-1,N,None,23,0,,0
20,Lasnik,L A S N I K,0,0,0,0,0,0,0,1,0,0,0,0,8,183,L,L,4,4,73,42,75,75,78,77,71,78,79,72,76,70,81,73,70,80,68,75,76,64,73,81,70,67,50,67,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,1,1,1,1,22,78,Austria,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,None,17,0,,0
21,Saumel,S A U M E L,0,0,0,0,1,0,0,0,1,0,0,0,9,180,L,B,4,4,70,59,73,80,75,74,70,75,79,71,80,72,79,74,68,77,70,72,74,63,72,80,68,67,50,69,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,1,1,1,1,22,74,Austria,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,None,22,0,,0
22,Sariyar,S A R I Y A R,0,0,0,0,0,0,0,0,0,0,1,0,11,182,R,B,5,5,73,40,75,80,76,78,74,75,75,75,73,71,72,70,73,78,74,63,60,73,78,76,75,68,50,70,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,27,77,Austria,1,0,1,3,0,0,0,0,0,0,0,0,0,0,N,None,12,0,,0
23,Kuljic,K U L J I C,0,0,0,0,0,0,0,0,0,0,0,1,12,179,R,B,5,5,78,38,74,78,75,80,79,72,73,73,70,68,67,66,76,80,76,65,60,78,76,73,80,66,50,69,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,29,76,Austria,1,0,1,6,0,0,0,0,0,0,0,0,0,0,N,None,18,0,,0
24,Stijnen,S T I J N E N,1,0,0,0,0,0,0,0,0,0,0,0,0,188,R,B,4,4,30,76,82,60,66,69,85,67,43,50,48,46,53,60,35,77,37,37,43,40,80,49,56,72,77,64,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,25,81,Belgium,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,1,0,,0
25,Hoefkens,HOEFKENS,0,0,1,1,0,0,0,0,0,0,0,0,3,185,R,B,5,5,58,75,81,82,73,72,75,71,69,68,68,67,71,75,62,79,60,59,58,80,77,69,56,73,50,74,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,28,82,Belgium,1,0,1,-3,0,0,0,0,0,0,0,0,0,0,N,None,13,0,,0
26,Van Buyten,VAN BUYTEN,0,0,1,0,0,0,0,0,0,0,0,0,3,197,R,B,5,5,99,82,99,99,78,84,99,99,66,63,60,63,74,66,70,88,75,74,60,80,80,70,70,72,50,81,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,A,1,1,1,1,28,87,Belgium,1,2,48,3,0,0,0,0,0,0,0,0,0,0,N,None,5,0,Independiente,5
27,Van Damme,VAN DAMME,0,0,1,1,0,0,0,0,0,0,0,0,4,194,L,B,5,5,66,69,89,82,80,78,73,68,73,78,63,72,64,78,60,83,62,55,60,77,73,73,76,66,50,66,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,23,87,Belgium,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,None,4,0,Athletic Bilbao,6
28,Van der Heyden,V. D. HEYDEN,0,0,0,1,0,1,0,1,0,0,0,0,4,183,L,L,5,4,74,58,80,82,81,78,71,73,75,77,75,74,77,76,68,84,69,66,71,69,68,70,77,68,50,75,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A,1,1,1,1,30,80,Belgium,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,None,16,0,Vasco da Gama,3
29,Vanden Borre,VANDEN BORRE,0,0,1,1,1,1,1,0,0,0,0,0,3,185,R,R,5,5,65,72,81,85,78,76,75,79,75,78,74,75,75,75,63,82,68,62,66,70,78,76,72,63,50,70,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,1,1,1,1,19,78,Belgium,3,0,1,0,0,0,0,0,0,0,0,0,0,0,N,None,20,0,Anderlecht,32
